scientificName,taxon_group,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_threatened,is_sensitive
Eucalyptus piperita,Flora,Sydney Peppermint,Not Listed,Not Listed,1,1967.0,1967.0,False,False
Eucalyptus sieberi,Flora,Silvertop Ash,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Eucalyptus spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Euchiton japonicus,Flora,,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Eudynamys orientalis,Aves,Eastern Koel,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Eupomatia laurina,Flora,Bolwarra,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Falco berigora,Aves,Brown Falcon,Not Listed,Not Listed,1,2002.0,2002.0,False,False
Falco cenchroides cenchroides,Aves,Nankeen Kestrel,Not Listed,Not Listed,1,1991.0,1991.0,False,False
Falco peregrinus,Aves,Peregrine Falcon,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Galium leiocarpum,Flora,,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Gastrodia sesamoides,Flora,Cinnamon Bells,Not Listed,Not Listed,1,2004.0,2004.0,False,False
Geastrum spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Geranium potentilloides,Flora,,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Geranium potentilloides var. potentilloides,Flora,,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Geranium solanderi,Flora,Native Geranium,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Gerygone mouki mouki,Aves,,Not Listed,Not Listed,1,2004.0,2004.0,False,False
Graphium macleayanum,Insecta,Macleay's swallowtail,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Gymnorhina tibicen tibicen,Aves,,Not Listed,Not Listed,1,1993.0,1993.0,False,False
Hakea salicifolia subsp. salicifolia,Flora,,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Hakea teretifolia,Flora,Needlebush,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Hebe spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Hirundo neoxena,Aves,Welcome Swallow,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Histiopteris incisa,Flora,Bat's Wing Fern,Not Listed,Not Listed,1,1985.0,1985.0,False,False
Hohenbuehelia spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Hydrocotyle algida,Flora,Pennywort,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Hydrocotyle laxiflora,Flora,Stinking Pennywort,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Hymenochaete spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Hymenophyllum spp.,Flora,,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Hypholoma spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Hypotaenidia philippensis,Aves,Buff-banded Rail,Not Listed,Not Listed,1,2021.0,2021.0,False,False
Intellagama lesueurii,Reptilia,Eastern Water Dragon,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Isolepis inundata,Flora,Club-rush,Not Listed,Not Listed,1,1996.0,1996.0,False,False
Jasminum polyanthum,Flora,White Jasmine,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Juncus continuus,Flora,,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Juncus procerus,Flora,,Not Listed,Not Listed,1,1996.0,1996.0,False,False
Juncus sarophorus,Flora,,Not Listed,Not Listed,1,1996.0,1996.0,False,False
Juncus subsecundus,Flora,Finger Rush,Not Listed,Not Listed,1,1976.0,1976.0,False,False
Juncus usitatus,Flora,,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Junonia villida,Insecta,Meadow Argus,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Lactarius eucalypti,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Lampropholis guichenoti,Reptilia,Pale-flecked Garden Sunskink,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Larix spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Lastreopsis decomposita,Flora,Trim Shield Fern,Not Listed,Not Listed,1,2007.0,2007.0,False,False
Lepanus illawarrensis,Insecta,,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Lepiota spp.,Fungi,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Leptospermum grandifolium,Flora,Woolly Teatree,Not Listed,Not Listed,1,1938.0,1938.0,False,False
Leucanthemum vulgare,Flora,Oxeye Daisy,Not Listed,Not Listed,1,1968.0,1968.0,False,False
Leucopogon lanceolatus subsp. group A,Flora,,Not Listed,Not Listed,1,1909.0,1909.0,False,False
Lindsaea trichomanoides,Flora,Oval Wedge-fern,Not Listed,Not Listed,1,2020.0,2020.0,False,False
Litoria ewingii,Amphibia,Brown Tree Frog,Not Listed,Not Listed,1,2021.0,2021.0,False,False
Litoria nudidigita,Amphibia,Leaf Green River Tree Frog,Not Listed,Not Listed,1,2017.0,2017.0,False,False
Macropygia phasianella,Aves,Brown Cuckoo-Dove,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Marasmius crinisequi,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Marasmius spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Marsdenia viridiflora subsp. viridiflora,Flora,Native Pear,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Menura novaehollandiae,Aves,Superb Lyrebird,Not Listed,Not Listed,1,2017.0,2017.0,False,False
Microlaena stipoides var. stipoides,Flora,Weeping Grass,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Microtis parviflora,Flora,Slender Onion Orchid,Not Listed,Not Listed,1,1987.0,1987.0,False,False
Monarcha melanopsis,Aves,Black-faced Monarch,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Monotoca ledifolia,Flora,,Not Listed,Not Listed,1,1979.0,1979.0,False,False
Morelia spilota spilota,Reptilia,Diamond Python,Not Listed,Not Listed,1,2018.0,2018.0,False,False
Morganella purpurascens,Fungi,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Morganella spp.,Fungi,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Muellerina eucalyptoides,Flora,,Not Listed,Not Listed,1,1991.0,1991.0,False,False
Mus musculus,Mammalia,House Mouse,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Mycena spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Mycena viscidocruenta,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Neosericornis citreogularis,Aves,Yellow-throated Scrubwren,Not Listed,Not Listed,1,1998.0,1998.0,False,False
Notechis scutatus,Reptilia,Tiger Snake,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Nycticorax caledonicus,Aves,Nankeen Night Heron,Not Listed,Not Listed,1,2022.0,2022.0,False,False
Nyctophilus gouldi,Mammalia,Gould's Long-eared Bat,Not Listed,Not Listed,1,2021.0,2021.0,False,False
Onthophagus hoplocerus,Insecta,,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Onthophagus longipes,Insecta,,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Onthophagus pugnax,Insecta,,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Onthophagus sydneyensis,Insecta,,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Oplismenus imbecillis,Flora,,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Osphranter robustus,Mammalia,Common Wallaroo,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Oxalis spp.,Flora,,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Pandorea jasminoides,Flora,Bower Vine,Not Listed,Not Listed,1,2008.0,2008.0,False,False
Passiflora herbertiana,Flora,,Not Listed,Not Listed,1,1981.0,1981.0,False,False
Paulownia tomentosa,Flora,Princess tree,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Pelecanus conspicillatus,Aves,Australian Pelican,Not Listed,Not Listed,1,2012.0,2012.0,False,False
Persicaria hydropiper,Flora,Water Pepper,Not Listed,Not Listed,1,1968.0,1968.0,False,False
Petaurus breviceps,Mammalia,Sugar Glider,Not Listed,Not Listed,1,2019.0,2019.0,False,False
Petroica rosea,Aves,Rose Robin,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Phaps chalcoptera,Aves,Common Bronzewing,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Phellinus spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Pholiota spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Pieris rapae,Insecta,Cabbage White Butterfly,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Plantago debilis,Flora,Shade Plantain,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Plantago lanceolata,Flora,Lamb's Tongues,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Plinthanthesis urvillei,Flora,,Not Listed,Not Listed,1,1966.0,1966.0,False,False
Pluteus spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Poa labillardierei var. labillardierei,Flora,Tussock,Not Listed,Not Listed,1,1968.0,1968.0,False,False
Poaceae indeterminate,Flora,"Grasses, reeds and bamboos",Not Listed,Not Listed,1,1990.0,1990.0,False,False
Podolobium ilicifolium,Flora,Prickly Shaggy Pea,Not Listed,Not Listed,1,1995.0,1995.0,False,False
Polygonum arenastrum,Flora,Wireweed,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Polystichum proliferum,Flora,Mother Shield Fern,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Potamogeton crispus,Flora,Curly Pondweed,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Prasophyllum appendiculatum,Flora,,Not Listed,Not Listed,1,1995.0,1995.0,False,False
Prostanthera lasianthos,Flora,Victorian Christmas Bush,Not Listed,Not Listed,1,1968.0,1968.0,False,False
Prunella vulgaris,Flora,Self-heal,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Prunus lusitanica,Flora,Portugal Laurel,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Psathyrella spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Pseuderanthemum variabile,Flora,Pastel Flower,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Psilocybe spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Pteris umbrosa,Flora,Jungle Brake,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Pteropus sp.,Mammalia,Flying-fox,Not Listed,Not Listed,1,2020.0,2020.0,False,False
Pultenaea hispidula,Flora,,Not Listed,Not Listed,1,1948.0,1948.0,False,False
Pycnoporus sanguineus,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Quercus robur,Flora,English Oak,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Ramaria spp.,Agaricomycetes,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Ranunculus plebeius,Flora,Forest Buttercup,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Rattus lutreolus,Mammalia,Swamp Rat,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Rattus rattus,Mammalia,Black Rat,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Rattus sp.,Mammalia,rat,Not Listed,Not Listed,1,2014.0,2014.0,False,False
Rhipidura leucophrys,Aves,Willie Wagtail,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Rhododendron spp.,Flora,"Rhododendron, Azalea",Not Listed,Not Listed,1,2010.0,2010.0,False,False
Rubus leightonii,Flora,Blackberry,Not Listed,Not Listed,1,1998.0,1998.0,False,False
Rubus moorei,Flora,Silky Bramble,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Rubus ulmifolius,Flora,Blackberry,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Rumex spp.,Flora,Dock,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Sarcochilus spp.,Flora,,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Scleroderma spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Scrophularia nodosa,Flora,,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Selaginella uliginosa,Flora,Swamp Selaginella,Not Listed,Not Listed,1,1948.0,1948.0,False,False
Senecio linearifolius,Flora,Fireweed Groundsel,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Senecio madagascariensis,Flora,Fireweed,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Sericornis magnirostra,Aves,Large-billed Scrubwren,Not Listed,Not Listed,1,1998.0,1998.0,False,False
Smilax glyciphylla,Flora,Sweet Sarsparilla,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Solanum crispum,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Solanum nigrum,Flora,Black-berry Nightshade,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Solanum prinophyllum,Flora,Forest Nightshade,Not Listed,Not Listed,1,2001.0,2001.0,False,False
Spilopelia chinensis,Aves,Spotted Turtle-Dove,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Stemonitis splendens,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Stereum sanguinolentum,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Stereum spp.,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Strepera versicolor,Aves,Grey Currawong,Not Listed,Not Listed,1,2025.0,2025.0,False,False
Stropharia aurantiaca,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Sturnus vulgaris,Aves,Common Starling,Not Listed,Not Listed,1,1992.0,1992.0,False,False
Symplocos thwaitesii,Flora,Buff Hazelwood,Not Listed,Not Listed,1,1994.0,1994.0,False,False
Tanacetum vulgare,Flora,Tansy,Not Listed,Not Listed,1,2017.0,2017.0,False,False
Taraxacum officinale,Flora,Dandelion,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Tetratheca neglecta,Flora,,Not Listed,Not Listed,1,1991.0,1991.0,False,False
Threskiornis moluccus,Aves,Australian White Ibis,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Toona ciliata,Flora,Red Cedar,Not Listed,Not Listed,1,2016.0,2016.0,False,False
Tradescantia fluminensis,Flora,Wandering Jew,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Trametes hirsuta,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Trametes versicolor,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Tremella fuciformis,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Trichaptum biforme,Flora,,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Trichosurus cunninghami,Mammalia,Mountain Brushtail Possum,Not Listed,Not Listed,1,2019.0,2019.0,False,False
Trifolium repens,Flora,White Clover,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Trophis scandens,Flora,Burny Vine,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Typha orientalis,Flora,Broad-leaved Cumbungi,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Uperoleia laevigata,Amphibia,Smooth Toadlet,Not Listed,Not Listed,1,2019.0,2019.0,False,False
Vanellus miles,Aves,Masked Lapwing,Not Listed,Not Listed,1,2019.0,2019.0,False,False
Varanus varius,Reptilia,Lace Monitor,Not Listed,Not Listed,1,2023.0,2023.0,False,False
Veronica plebeia,Flora,Trailing Speedwell,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Vespadelus vulturnus,Mammalia,Little Forest Bat,Not Listed,Not Listed,1,2019.0,2019.0,False,False
Westringia longifolia,Flora,Long-leaved Westringia,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Xanthorrhoea concava,Flora,,Not Listed,Not Listed,1,1939.0,1939.0,False,False
Xerochrysum bracteatum,Flora,Golden Everlasting,Not Listed,Not Listed,1,1990.0,1990.0,False,False
